date	close
7-Oct-16	89.16
8-Oct-16	89.79
9-Oct-16	88.74
10-Oct-16	96.80
13-Oct-16	110.26
14-Oct-16	104.08
15-Oct-16	97.95
16-Oct-16	101.89
17-Oct-16	97.40
20-Oct-16	98.44
21-Oct-16	91.49
22-Oct-16	96.87
23-Oct-16	98.23
24-Oct-16	96.38
27-Oct-16	92.09
28-Oct-16	99.91
29-Oct-16	104.55
30-Oct-16	111.04
31-Oct-16	107.59
3-Nov-16	106.96
4-Nov-16	110.99
5-Nov-16	103.30
6-Nov-16	99.10
7-Nov-16	98.24
10-Nov-16	95.88
11-Nov-16	94.77
12-Nov-16	90.12
13-Nov-16	96.44
14-Nov-16	90.24
17-Nov-16	88.14
18-Nov-16	89.91
19-Nov-16	86.29
20-Nov-16	80.49
21-Nov-16	82.58
24-Nov-16	92.95
25-Nov-16	90.80
26-Nov-16	95.00
27-Nov-16	95.00
28-Nov-16	92.67
1-Dec-16	88.93
2-Dec-16	92.47
3-Dec-16	95.90
4-Dec-16	91.41
5-Dec-16	94.00
8-Dec-16	99.72
9-Dec-16	100.06
10-Dec-16	98.21
11-Dec-16	95.00
12-Dec-16	98.27
15-Dec-16	94.75
16-Dec-16	95.43
17-Dec-16	89.16
18-Dec-16	89.43
19-Dec-16	90.00
22-Dec-16	85.74
23-Dec-16	86.38
24-Dec-16	85.04
25-Dec-16	85.04
26-Dec-16	85.81
29-Dec-16	86.61
30-Dec-16	86.29
31-Dec-16	85.35
